name,date,event,role,fee
Renee Filippone,2014-10-17,Arts Umbrella SPLASH VIP Night,Host,Unpaid
Rob Brown,2014-10-17,Canadian Centre for Male Survivors of Sexual Abuse Leadership Lunch,Host,Unpaid
Matt Rainnie,2014-10-17,PEI Association for Newcomers Citizenship Ceremony,Host,Unpaid
Jessica Doria-Brown,2014-10-16,Riverview High Class Visit,Appearance,Unpaid
Amanda Lang,2014-10-16,Toronto Life Event - Future of Toronto's Economy,Moderator,Unpaid
Johanna Wagstaffe,2014-10-16,Great BC Shakeout,Host,Unpaid
Gregor Craigie,2014-10-16,Mayoral Debate - Coolaid (Victoria),Moderator,Unpaid
Sheila Coles,2014-10-16,Citizenship Ceremony + New in Town Evening reception,Host,Unpaid
Lucy van Oldenbarneveld,2014-10-16,Upstream Mental Health Gala,Host,Unpaid
Susan Campbell,2014-10-16,Morrin Cultural Centre Literary Feast,Host,Unpaid
Stephanie Domet,2014-10-16,Nocturne Art at Night,Host,Unpaid
Neil Macdonald,2014-10-16,Upstream Mental Health Gala,Speech,Expenses
Amy Smith,2014-10-15,MOBIUS Awards of Environmental Excellence,Host,Unpaid
Gloria Macarenko,2014-10-15,Gordon Smith Foundation Fall Gala,Host,Unpaid
Jill Morgan,2014-10-15,South Saskatchewan Community Foundation 45th Anniversary Celebration,Host,Unpaid
David Common,2014-10-15,Samara/Online News Association: In Conversation with Alfred Hermida,Moderator,Unpaid
Evan Solomon,2014-10-14,Insurance Bureau of Canada Earthquake Symposium,Moderator,Paid
Wendy Bergfeldt,2014-10-12,Celtic Colours International Festival: Bards of the World,Host,Unpaid
Wendy Bergfeldt,2014-10-11,Celtic Colours International Festival: Such Devoted Sisters,Host,Unpaid
Cory Edel,2014-10-10,Laurier Heights School  Read-in Week,Reader,Unpaid
Laura Osman,2014-10-10,Laurier Heights School Read-in Week,Reader,Unpaid
Steve Sutherland,2014-10-09,Bras d'Or Lakes Forum,Host,Unpaid
Sandi Coleman,2014-10-09,Palaeo Art Challenge,Judge,Unpaid
Miyoung Lee,2014-10-09,Korean National Foundation Day Reception,Host,Unpaid
Sandi Coleman,2014-10-09,Palaeo Art Challenge,Appearance,Unpaid
Jill Morgan,2014-10-09,Regina Folk Festival Concert Series:The Harpoonist and The Axe Murderer,Host,Unpaid
Marcy Markusa,2014-10-09,Winnipeg Realtors Association 2014 Mayoral Forum,Moderator,Expenses
Marivel Taruc,2014-10-09,Mississagua Board of Trade: Fortune 500 Gala,Moderator,Unpaid
Evan Solomon,2014-10-09,Cape Breton Partnership Investor Summit,Host,Paid
Julie Ireton,2014-10-09,Canadian Internet Registration Association Forum,Moderator,Paid
Wendy Bergfeldt,2014-10-09,Singing Storytellers Symposium,Host,Unpaid
Bruce Rainnie,2014-10-09,QE Hospital Foundation Donor Recognition Dinner,Speech,Unpaid
David Common,2014-10-09,Carlton University Journalism Class,Lecture,Unpaid
Sandi Coleman,2014-10-08,A Rock Fell on the Moon book launch,Host,Unpaid
Marcy Markusa,2014-10-08,Centrallia Manitoba,Moderator,Unpaid
Peter Mansbridge,2014-10-08,Northern Insights Speaker Series at Fort McMurray Public Library,Speech,Paid
Khalil Akhtar,2014-10-08,Mayoral Debate - Urban Development,Moderator,Unpaid
Laura Osman,2014-10-08,Dan Knott School Read-in Week,Reader,Unpaid
Lucy van Oldenbarneveld,2014-10-08,Read for the Cure,Host,Unpaid
Amanda Lang,2014-10-07,Colliers International Market Outlook Breakfast,Keynote,Paid
Lisa Johnson,2014-10-07,UBC Alumni's Panel Discussion with Earthquake Scientists,Moderator,Unpaid
Matt Galloway,2014-10-07,1000 Dinners TO,Paticipant,Unpaid
